Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State
,Pressler Apartments,221060,507 PRESSLER ST,78703,1,0,0,0,0,1-star,,Residential,,Yes,Commercial,Commercial Rating 2008,2010,,POINT (-97.76006298 30.27285499),5,169,10/01/2009,09/30/2010,Austin,TX
,CVS Pharmacy #11306,14724,7101 E WILLIAM CANNON DR,78744,0,1,0,0,0,2-star,,Retail,Pilot Knob (PUD),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.725839775 30.163039405),1,,10/01/2022,09/30/2023,Austin,TX
,21 Pearl - West Campus Apartments,106000,911 W 21ST ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2013,,POINT (-97.747113024 30.284636007),6,135,10/01/2012,09/30/2013,Austin,TX
,"Austin Children's Shelter, General Services Building",,sensitive location,78723,0,0,1,0,0,3-star,,Office,Mueller Development (PUD),No,Commercial,Commercial Rating 2007,2011,,POINT (-97.6999965 30.2935393),1,,10/01/2010,09/30/2011,Austin,TX
,Austin Habitat for Humanity Warehouses,18424,3300 S US HWY 183,78744,1,0,0,0,0,1-star,,Office/ Warehouse,,Yes,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.683833145 30.201569314),1,,10/01/2022,09/30/2023,Austin,TX
,Trails at Vintage Creek Learning Center,4600,7224 NORTHEAST DR,78723,0,1,0,0,0,2-star,,Office/Event Space,,Yes,Commercial,Pilot Commercial Rating,2005,,POINT (-97.680220994 30.321530001),2,,10/01/2004,09/30/2005,Austin,TX
,Braker Pointe #3,203268,10801 N MOPAC EXPY SVRD NB 1,78759,0,0,1,0,0,3-star,,Office,,Yes,Commercial,Pilot Commercial Rating,2001,,POINT (-97.730208988 30.397183006),4,,10/01/2000,09/30/2001,Austin,TX
,Ronald McDonald House Charities,28240,1315 BARBARA JORDAN BLVD,78723,0,0,0,0,0,,Platinum,Office,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.1,2009,,POINT (-97.70689397 30.304681999),4,,10/01/2008,09/30/2009,Austin,TX
,Cirrus Logic Phase II,15921,710 W 7TH ST,78701,1,0,0,0,0,1-star,,Office,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2019,,POINT (-97.749809985 30.271391007),8,,10/01/2018,09/30/2019,Austin,TX
,Southpark Meadows,303777,9500 S IH 35 SVRD,78748,0,1,0,0,0,2-star,,Office/ Retail/ Restaurant,,Yes,Commercial,Commercial Rating 2006,2010,,POINT (-97.79063899 30.160989985),1,,10/01/2009,09/30/2010,Austin,TX
,DOTS Fashion at Mueller,4070,1201 BARBARA JORDAN BLVD UNIT 309,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.709006964 30.306354021),1,,10/01/2007,09/30/2008,Austin,TX
,Canopy Hotel Austin,87027,612 W 6TH ST,78701,0,0,1,0,0,3-star,,Restaurant/ Hotel,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.749006999 30.270079994),29,347,10/01/2021,09/30/2022,Austin,TX
,BJ's Restaurant & Brewhouse,7453,10515 N MOPAC EXPY SVRD NB B UNIT 200,78759,1,0,0,0,0,1-star,,Restaurant,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2017,,POINT (-97.732443017 30.389556983),1,,10/01/2016,09/30/2017,Austin,TX
