Organization,Project (sq.ft.),Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2002,,POINT (-97.739921016 30.163160982),,1,10/1/01,9/30/02,Austin,TX,
Streetman Homes,,78723,0,0,0,0,1,5-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.704547037 30.294633983),,1,10/1/09,9/30/10,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.699153031 30.201487988),,1,10/1/16,9/30/17,Austin,TX,
SDC Austin Commun.,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,II,1996,,POINT (-97.639920971 30.303965011),,1,10/1/95,9/30/96,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2003,,POINT (-97.737635019 30.159565019),,1,10/1/02,9/30/03,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.820002976 30.189572987),,1,10/1/04,9/30/05,Austin,TX,
David Weekley Homes,,78754,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.654947963 30.375116011),,1,10/1/03,9/30/04,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2019,,POINT (-97.696489011 30.295942021),,1,10/1/18,9/30/19,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2010,,POINT (-97.739057009 30.147238006),,1,10/1/09,9/30/10,Austin,TX,
MWM DesignGroup,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.726089031 30.242125006),,1,10/1/17,9/30/18,Austin,TX,
D.R. Horton,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.836630248 30.19243417),,1,10/1/11,9/30/12,Austin,TX,
Clark Wilson Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2000,,POINT (-97.781441024 30.138533986),,1,10/1/99,9/30/00,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,0,0,0,3-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.647186992 30.294074994),,1,10/1/11,9/30/12,Austin,TX,
Buffington Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2020,,POINT (-97.554539972 30.296703014),,1,10/1/19,9/30/20,Manor,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.873887968 30.205966984),,1,10/1/99,9/30/00,Austin,TX,
Gary Wilde Custom Homes,,78746,0,0,0,0,1,5-star,,Residential,,,Single Family,2008.2,2009,,POINT (-97.78810799 30.273245),,1,10/1/08,9/30/09,Austin,TX,
Newmark Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.777437995 30.408451008),,1,10/1/01,9/30/02,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.900377967 30.369227012),,1,10/1/99,9/30/00,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.742879995 30.154018002),,1,10/1/03,9/30/04,Austin,TX,
KB Home,,78747,0,1,0,0,0,2-star,,Residential,,,Single Family,2008.2,2015,,POINT (-97.744221016 30.148441983),,1,10/1/14,9/30/15,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.731752013 30.199967008),,1,10/1/04,9/30/05,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.596288974 30.147468005),,1,10/1/20,9/30/21,Del Valle,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.760218968 30.152916997),,1,10/1/19,9/30/20,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.879057004 30.207463992),,1,10/1/99,9/30/00,Austin,TX,
Austin Habitat for Humanity,,78702,0,0,0,0,0,2-star,,Residential,,,Single Family,II,1998,,POINT (-97.716251024 30.272478014),,1,10/1/97,9/30/98,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2008,,POINT (-97.733882022 30.199046005),,1,10/1/07,9/30/08,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2016,,POINT (-97.696790005 30.200999994),,1,10/1/15,9/30/16,Austin,TX,
Hammonds Homes,,78732,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.907074018 30.355600007),,1,10/1/04,9/30/05,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.878411011 30.208948008),,1,10/1/99,9/30/00,Austin,TX,
Main Street Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.828228976 30.151267983),,1,10/1/04,9/30/05,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.768385959 30.140665001),,1,10/1/07,9/30/08,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.716681016 30.154553019),,1,10/1/20,9/30/21,Austin,TX,
Legacy DCS LLC,,78702,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2015,,POINT (-97.725264001 30.25810502),,1,10/1/14,9/30/15,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2019,,POINT (-97.554699982 30.298628002),,1,10/1/18,9/30/19,Manor,TX,
KB Home,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2011,,POINT (-97.738452003 30.147837983),,1,10/1/10,9/30/11,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2008,,POINT (-97.746184979 30.152806984),,1,10/1/07,9/30/08,Austin,TX,
Urban Intown-Homes,,78723,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.679510963 30.292099002),,1,10/1/20,9/30/21,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.629558005 30.170514006),,1,10/1/05,9/30/06,Del Valle,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
Avi Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.755033 30.15239099),,1,10/1/19,9/30/20,Austin,TX,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2008,,POINT (-97.632162011 30.27336),,1,10/1/07,9/30/08,Austin,TX,
Central City Builders,,78704,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2006,,POINT (-97.785318996 30.235528993),,1,10/1/05,9/30/06,Austin,TX,
Newmark Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.687212004 30.426501017),,1,10/1/98,9/30/99,Austin,TX,
Main Street Homes,,78702,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.761424034 30.209832005),,1,10/1/05,9/30/06,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.87435199 30.204310007),,1,10/1/00,9/30/01,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2016,,POINT (-97.619957038 30.346837021),,1,10/1/15,9/30/16,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.809815024 30.12680498),,1,10/1/17,9/30/18,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.703973967 30.290981988),,1,10/1/07,9/30/08,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2018,,POINT (-97.642593038 30.354945003),,1,10/1/17,9/30/18,Austin,TX,
The Brohn Group,,,,,,,,,,,,,,,,,,,,,,,,
Streetman Homes,,78723,0,0,0,0,1,5-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.704958002 30.290777008),,1,10/1/07,9/30/08,Austin,TX,
Loop Design,,78704,0,0,0,0,1,5-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.76952003 30.251445011),,1,10/1/13,9/30/14,Austin,TX,
Perry Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.720771971 30.146399983),,1,10/1/19,9/30/20,Austin,TX,
Austin Habitat for Humanity,,78702,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2000,,POINT (-97.696478031 30.233246014),,1,10/1/99,9/30/00,Austin,TX,
NuHome Development Co.,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.81437897 30.182043985),,1,10/1/04,9/30/05,Austin,TX,
Legacy DCS,,,,,,,,,,,,,,,,,,,,,,,,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.73165604 30.198864997),,1,10/1/03,9/30/04,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2014,,POINT (-97.747068013 30.149067985),,1,10/1/13,9/30/14,Austin,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.725325021 30.15861602),,1,10/1/20,9/30/21,Austin,TX,
D.R. Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2018,,POINT (-97.720986967 30.344003015),,1,10/1/17,9/30/18,Austin,TX,
Westminster Meadows,,,,,,,,,,,,,,,,,,,,,,,,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2009,,POINT (-97.746419002 30.152420998),,1,10/1/08,9/30/09,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.695495001 30.196186015),,1,10/1/07,9/30/08,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.700469996 30.293895998),,1,10/1/09,9/30/10,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.626041964 30.165533982),,1,10/1/06,9/30/07,Del Valle,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2003,,POINT (-97.741553978 30.161355017),,1,10/1/02,9/30/03,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716681016 30.154553019),,1,10/1/19,9/30/20,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.744205006 30.155122988),,1,10/1/13,9/30/14,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.626878981 30.165917999),,1,10/1/06,9/30/07,Del Valle,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2020,,POINT (-97.808253978 30.125822998),,1,10/1/19,9/30/20,Austin,TX,
W+Inc,,78746,0,0,0,0,1,5-star,,Residential,,,Single Family,2012.1,2013,,POINT (-97.791275008 30.278111994),,1,10/1/12,9/30/13,Austin,TX,
Stanley Architects,,78641,0,0,0,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.89588401 30.560658993),,1,10/1/03,9/30/04,Austin,TX,
Newmark Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.855270001 30.363783008),,1,10/1/98,9/30/99,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2002,,POINT (-97.738127037 30.162433013),,1,10/1/01,9/30/02,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.896171006 30.371204009),,1,10/1/99,9/30/00,Austin,TX,
GFO Home,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2021,,POINT (-97.556268991 30.296062008),,1,10/1/20,9/30/21,Manor,TX,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2011,,POINT (-97.627939963 30.279966993),,1,10/1/10,9/30/11,Austin,TX,
Clark Wilson Homes,,78746,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2000,,POINT (-97.915977024 30.311409985),,1,10/1/99,9/30/00,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2015,,POINT (-97.590691958 30.257773013),,1,10/1/14,9/30/15,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2006,,POINT (-97.739870976 30.15075698),,1,10/1/05,9/30/06,Austin,TX,
Grand Haven Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2018,,POINT (-97.791761746 30.487158713),,1,10/1/17,9/30/18,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2015,,POINT (-97.744440035 30.148578985),,1,10/1/14,9/30/15,Austin,TX,
David Weekley Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.884703976 30.208468982),,1,10/1/02,9/30/03,Austin,TX,
Highland Homes Ltd.,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2019,,POINT (-97.578755961 30.33479298),,1,10/1/18,9/30/19,Manor,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.730489028 30.223854007),,1,10/1/03,9/30/04,Austin,TX,
Hammonds Homes,,78732,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.905896026 30.353862019),,1,10/1/04,9/30/05,Austin,TX,
Trinity Land & Homes,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.696201009 30.327422018),,1,10/1/02,9/30/03,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
William T. Moore Construction,,,,,,,,,,,,,,,,,,,,,,,,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.731926021 30.197286015),,1,10/1/06,9/30/07,Austin,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.640629996 30.355949993),,1,10/1/18,9/30/19,Austin,TX,
Wilshire Homes,,78751,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.678806967 30.419340986),,1,10/1/95,9/30/96,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.699443967 30.295325993),,1,10/1/17,9/30/18,Austin,TX,
D.R. Horton,,78754,0,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.652829018 30.368593005),,1,10/1/11,9/30/12,Austin,TX,
Constructinople,,78727,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2022,,POINT (-97.694678017 30.416427981),,1,10/1/21,9/30/22,Austin,TX,
Perry Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2019,,POINT (-97.720414986 30.151398992),,1,10/1/18,9/30/19,Austin,TX,
Lennar,,78745,0,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2011,,POINT (-97.701493007 30.199750001),,1,10/1/10,9/30/11,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.698196991 30.293466007),,1,10/1/15,9/30/16,Austin,TX,
KB Home,,78747,0,1,0,0,0,2-star,,Residential,,,Single Family,2008.2,2015,,POINT (-97.745157023 30.149453008),,1,10/1/14,9/30/15,Austin,TX,
PSW Homes,,78704,0,0,0,1,0,4-star,,Residential,,,Single Family,2013,2019,,POINT (-97.778441979 30.239421004),,1,10/1/18,9/30/19,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.699923999 30.29751698),,1,10/1/17,9/30/18,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2003,,POINT (-97.740940004 30.161477015),,1,10/1/02,9/30/03,Austin,TX,
Central City Builders,,78704,0,0,1,0,0,3-star,,Residential,,,Single Family,7.1,2004,,POINT (-97.753899013 30.245693014),,1,10/1/03,9/30/04,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2003,,POINT (-97.738751992 30.149773993),,1,10/1/02,9/30/03,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2016,,POINT (-97.621605004 30.348970005),,1,10/1/15,9/30/16,Austin,TX,
M/I Homes,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.809930985 30.119591614),,1,10/1/21,9/30/22,Austin,TX,
Meritage Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2010,,POINT (-97.705316999 30.292648981),,1,10/1/09,9/30/10,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2011,,POINT (-97.700359019 30.291143004),,1,10/1/10,9/30/11,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.644569994 30.361949005),,1,10/1/16,9/30/17,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2015,,POINT (-97.767496974 30.141999987),,1,10/1/14,9/30/15,Austin,TX,
Drees Custom Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,0,2014,,POINT (-97.794903283 30.485643139),,1,10/1/13,9/30/14,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.744699036 30.152837997),,1,10/1/13,9/30/14,Austin,TX,
MWM DesignGroup,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2019,,POINT (-97.725601037 30.242803982),,1,10/1/18,9/30/19,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.876317966 30.205787988),,1,10/1/98,9/30/99,Austin,TX,
PSW Homes,,78722,0,0,0,1,0,4-star,,Residential,,,Single Family,2013,2018,,POINT (-97.708154022 30.293142004),,1,10/1/17,9/30/18,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2018,,POINT (-97.553560965 30.298739984),,1,10/1/17,9/30/18,Manor,TX,
D.R. Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.720282971 30.342837009),,1,10/1/17,9/30/18,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2006,,POINT (-97.628715959 30.171709014),,1,10/1/05,9/30/06,Del Valle,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2019,,POINT (-97.760218968 30.152916997),,1,10/1/18,9/30/19,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2014,,POINT (-97.614949019 30.346627012),,1,10/1/13,9/30/14,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.627932 30.170370005),,1,10/1/06,9/30/07,Del Valle,TX,
Pier N Beam,,,,,,,,,,,,,,,,,,,,,,,,
Pyka Builders,,,,,,,,,,,,,,,,,,,,,,,,
David Weekley Homes,,78754,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.660815966 30.373520013),,1,10/1/01,9/30/02,Austin,TX,
Centerra Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.755126039 30.154215018),,1,10/1/16,9/30/17,Austin,TX,
Doucet & Associates,,78705,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2021,,POINT (-97.72211098 30.293714991),,1,10/1/20,9/30/21,Austin,TX,
Hammonds Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.775579979 30.403210013),,1,10/1/01,9/30/02,Austin,TX,
Legacy Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.874072035 30.207441989),,1,10/1/99,9/30/00,Austin,TX,
Dream Finders Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.719979965 30.152417016),,1,10/1/19,9/30/20,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2008,,POINT (-97.747550978 30.150971012),,1,10/1/07,9/30/08,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2017,,POINT (-97.810378036 30.125601003),,1,10/1/16,9/30/17,Austin,TX,
Lennar,,78732,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2021,,POINT (-97.877591009 30.389547008),,1,10/1/20,9/30/21,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2011,,POINT (-97.700864029 30.291114003),,1,10/1/10,9/30/11,Austin,TX,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2008,,POINT (-97.631265986 30.273897993),,1,10/1/07,9/30/08,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2009,,POINT (-97.693702028 30.200764001),,1,10/1/08,9/30/09,Austin,TX,
KB Home,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2010,,POINT (-97.615692996 30.169273987),,1,10/1/09,9/30/10,Del Valle,TX,
Newmark Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.683201012 30.424605995),,1,10/1/99,9/30/00,Austin,TX,
KB Home,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2009,,POINT (-97.616821033 30.168556999),,1,10/1/08,9/30/09,Del Valle,TX,
Newmark Homes,,78613,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.8492927 30.493061847),,1,10/1/00,9/30/01,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.648846022 30.365089998),,1,10/1/16,9/30/17,Austin,TX,
Terra Verde Construction,,78738,0,0,1,0,0,3-star,,Residential,,,Single Family,II,1997,,POINT (-97.964939996 30.300397002),,1,10/1/96,9/30/97,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.696993015 30.203966014),,1,10/1/19,9/30/20,Austin,TX,
Meritage Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.705870037 30.291591981),,1,10/1/07,9/30/08,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2018,,POINT (-97.644474021 30.354988002),,1,10/1/17,9/30/18,Austin,TX,
Wilshire Homes,,78751,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.685453984 30.418860996),,1,10/1/95,9/30/96,Austin,TX,
TAG International,,78738,0,0,0,1,0,4-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.980850021 30.305085001),,1,10/1/13,9/30/14,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2015,,POINT (-97.619747993 30.347586991),,1,10/1/14,9/30/15,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2010,,POINT (-97.747769997 30.15351601),,1,10/1/09,9/30/10,Austin,TX,
Westminster Meadows,,,,,,,,,,,,,,,,,,,,,,,,
Main Street Homes,,78702,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.762433969 30.208092006),,1,10/1/05,9/30/06,Austin,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.731147007 30.223768009),,1,10/1/03,9/30/04,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.648313016 30.293790009),,1,10/1/13,9/30/14,Austin,TX,
Clark Wilson Homes,,78733,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.923135144 30.311979589),,1,10/1/95,9/30/96,Austin,TX,
Enerloc Building Systems,,,,,,,,,,,,,,,,,,,,,,,,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.702806032 30.290511008),,1,10/1/09,9/30/10,Austin,TX,
Grand Haven Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.791000334 30.482268585),,1,10/1/15,9/30/16,Austin,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.760218968 30.152916997),,1,10/1/19,9/30/20,Austin,TX,
Ditmar,,,,,,,,,,,,,,,,,,,,,,,,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8,2008,,POINT (-97.704890025 30.291069998),,1,10/1/07,9/30/08,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2010,2012,,POINT (-97.701570959 30.296800998),,1,10/1/11,9/30/12,Austin,TX,
Images Of…,,78734,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.954772999 30.375071),,1,10/1/01,9/30/02,Lakeway,TX,
